city,year,crime,incidences,rate
LUCKNOW,2011,Dowry Deaths (Sec.304B IPC),32,1.1
LUCKNOW,2011,Molestation (Sec.354 IPC),104,3.6
LUCKNOW,2011,Sexual Harassment (Sec.509 IPC),0,0
LUDHIANA,2011,"Hurt (Sec.323-333,335-338 IPC)",203,12.6
LUDHIANA,2011,Dowry Deaths (Sec.304B IPC),13,0.8
LUDHIANA,2011,Molestation (Sec.354 IPC),22,1.4
LUDHIANA,2011,Sexual Harassment (Sec.509 IPC),10,0.6
MADURAI,2011,"Hurt (Sec.323-333,335-338 IPC)",171,11.7
MADURAI,2011,Dowry Deaths (Sec.304B IPC),5,0.3
MADURAI,2011,Molestation (Sec.354 IPC),22,1.5
MADURAI,2011,Sexual Harassment (Sec.509 IPC),4,0.3
MALAPPURAM,2011,"Hurt (Sec.323-333,335-338 IPC)",179,10.5
MALAPPURAM,2011,Dowry Deaths (Sec.304B IPC),0,0
MALAPPURAM,2011,Molestation (Sec.354 IPC),37,2.2
MALAPPURAM,2011,Sexual Harassment (Sec.509 IPC),2,0.1
MEERUT,2011,"Hurt (Sec.323-333,335-338 IPC)",12,0.8
MEERUT,2011,Dowry Deaths (Sec.304B IPC),18,1.3
MEERUT,2011,Molestation (Sec.354 IPC),47,3.3
MEERUT,2011,Sexual Harassment (Sec.509 IPC),0,0
MUMBAI,2011,"Hurt (Sec.323-333,335-338 IPC)",4302,23.4
MUMBAI,2011,Dowry Deaths (Sec.304B IPC),14,0.1
MUMBAI,2011,Molestation (Sec.354 IPC),553,3
MUMBAI,2011,Sexual Harassment (Sec.509 IPC),162,0.9
NAGPUR,2011,"Hurt (Sec.323-333,335-338 IPC)",876,35.1
NAGPUR,2011,Dowry Deaths (Sec.304B IPC),4,0.2
NAGPUR,2011,Molestation (Sec.354 IPC),68,2.7
NAGPUR,2011,Sexual Harassment (Sec.509 IPC),53,2.1
NASIK,2011,"Hurt (Sec.323-333,335-338 IPC)",258,16.5
NASIK,2011,Dowry Deaths (Sec.304B IPC),5,0.3
NASIK,2011,Molestation (Sec.354 IPC),37,2.4
NASIK,2011,Sexual Harassment (Sec.509 IPC),10,0.6
PATNA,2011,"Hurt (Sec.323-333,335-338 IPC)",425,20.8
PATNA,2011,Dowry Deaths (Sec.304B IPC),45,2.2
PATNA,2011,Molestation (Sec.354 IPC),1,0
PATNA,2011,Sexual Harassment (Sec.509 IPC),1,0
PUNE,2011,"Hurt (Sec.323-333,335-338 IPC)",991,19.6
PUNE,2011,Dowry Deaths (Sec.304B IPC),8,0.2
PUNE,2011,Molestation (Sec.354 IPC),118,2.3
PUNE,2011,Sexual Harassment (Sec.509 IPC),80,1.6
RAIPUR,2011,"Hurt (Sec.323-333,335-338 IPC)",1745,155.4
RAIPUR,2011,Dowry Deaths (Sec.304B IPC),4,0.4
RAIPUR,2011,Molestation (Sec.354 IPC),195,17.4
RAIPUR,2011,Sexual Harassment (Sec.509 IPC),27,2.4
RAJKOT,2011,"Hurt (Sec.323-333,335-338 IPC)",360,25.9
RAJKOT,2011,Dowry Deaths (Sec.304B IPC),0,0
RAJKOT,2011,Molestation (Sec.354 IPC),17,1.2
RAJKOT,2011,Sexual Harassment (Sec.509 IPC),3,0.2
RANCHI,2011,"Hurt (Sec.323-333,335-338 IPC)",327,29
RANCHI,2011,Dowry Deaths (Sec.304B IPC),11,1
RANCHI,2011,Molestation (Sec.354 IPC),5,0.4
RANCHI,2011,Sexual Harassment (Sec.509 IPC),0,0
SRINAGAR,2011,"Hurt (Sec.323-333,335-338 IPC)",9,0.7
SRINAGAR,2011,Dowry Deaths (Sec.304B IPC),0,0
SRINAGAR,2011,Molestation (Sec.354 IPC),171,13.4
SRINAGAR,2011,Sexual Harassment (Sec.509 IPC),70,5.5
SURAT,2011,"Hurt (Sec.323-333,335-338 IPC)",455,9.9
SURAT,2011,Dowry Deaths (Sec.304B IPC),0,0
SURAT,2011,Molestation (Sec.354 IPC),34,0.7
SURAT,2011,Sexual Harassment (Sec.509 IPC),3,0.1
THIRUVANANTHAPURAM,2011,"Hurt (Sec.323-333,335-338 IPC)",982,58.2
THIRUVANANTHAPURAM,2011,Dowry Deaths (Sec.304B IPC),0,0
THIRUVANANTHAPURAM,2011,Molestation (Sec.354 IPC),241,14.3
THIRUVANANTHAPURAM,2011,Sexual Harassment (Sec.509 IPC),46,2.7
THRISSUR,2011,"Hurt (Sec.323-333,335-338 IPC)",340,18.3
THRISSUR,2011,Dowry Deaths (Sec.304B IPC),0,0
THRISSUR,2011,Molestation (Sec.354 IPC),100,5.4
THRISSUR,2011,Sexual Harassment (Sec.509 IPC),28,1.5
TIRUCHIRAPALLI,2011,"Hurt (Sec.323-333,335-338 IPC)",142,10.1
TIRUCHIRAPALLI,2011,Dowry Deaths (Sec.304B IPC),2,0.1
TIRUCHIRAPALLI,2011,Molestation (Sec.354 IPC),17,1.2
TIRUCHIRAPALLI,2011,Sexual Harassment (Sec.509 IPC),26,1.9
VADODARA,2011,"Hurt (Sec.323-333,335-338 IPC)",315,17.3
VADODARA,2011,Dowry Deaths (Sec.304B IPC),1,0.1
VADODARA,2011,Molestation (Sec.354 IPC),15,0.8
VADODARA,2011,Sexual Harassment (Sec.509 IPC),2,0.1
VARANASI,2011,"Hurt (Sec.323-333,335-338 IPC)",55,3.8
VARANASI,2011,Dowry Deaths (Sec.304B IPC),20,1.4
VARANASI,2011,Molestation (Sec.354 IPC),1,0.1
VARANASI,2011,Sexual Harassment (Sec.509 IPC),0,0
VASAI VIRAR,2011,"Hurt (Sec.323-333,335-338 IPC)",168,13.8
VASAI VIRAR,2011,Dowry Deaths (Sec.304B IPC),0,0
VASAI VIRAR,2011,Molestation (Sec.354 IPC),19,1.6
VASAI VIRAR,2011,Sexual Harassment (Sec.509 IPC),10,0.8
VIJAYAWADA,2011,"Hurt (Sec.323-333,335-338 IPC)",1842,123.5
VIJAYAWADA,2011,Dowry Deaths (Sec.304B IPC),17,1.1
VIJAYAWADA,2011,Molestation (Sec.354 IPC),248,16.6
VIJAYAWADA,2011,Sexual Harassment (Sec.509 IPC),355,23.8
VISHAKHAPATNAM,2011,"Hurt (Sec.323-333,335-338 IPC)",1308,75.6
VISHAKHAPATNAM,2011,Dowry Deaths (Sec.304B IPC),12,0.7
VISHAKHAPATNAM,2011,Molestation (Sec.354 IPC),31,1.8
VISHAKHAPATNAM,2011,Sexual Harassment (Sec.509 IPC),50,2.9
AGRA,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),282,16.2
AGRA,2011,Importation of Girls (Sec. 366B IPC),0,0
AGRA,2011,Causing Death by Negligence (Sec. 304A IPC),468,26.8
AGRA,2011,Other IPC,1942,111.2
AGRA,2011,Total Cognizable,8380,480
AHMEDABAD,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),1390,21.9
AHMEDABAD,2011,Importation of Girls (Sec. 366B IPC),0,0
AHMEDABAD,2011,Causing Death by Negligence (Sec. 304A IPC),187,2.9
AHMEDABAD,2011,Other IPC,10397,163.7
AHMEDABAD,2011,Total Cognizable,20203,318.1
ALLAHABAD,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),92,7.6
ALLAHABAD,2011,Importation of Girls (Sec. 366B IPC),0,0
ALLAHABAD,2011,Causing Death by Negligence (Sec. 304A IPC),178,14.6
ALLAHABAD,2011,Other IPC,487,40
ALLAHABAD,2011,Total Cognizable,2702,222
AMRITSAR,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),101,8.5
AMRITSAR,2011,Importation of Girls (Sec. 366B IPC),0,0
AMRITSAR,2011,Causing Death by Negligence (Sec. 304A IPC),66,5.6
AMRITSAR,2011,Other IPC,485,41
AMRITSAR,2011,Total Cognizable,1807,152.6
ASANSOL,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),461,37.1
ASANSOL,2011,Importation of Girls (Sec. 366B IPC),0,0
ASANSOL,2011,Causing Death by Negligence (Sec. 304A IPC),169,13.6
ASANSOL,2011,Other IPC,1427,114.8
ASANSOL,2011,Total Cognizable,3381,272
AURANGABAD,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),122,10.3
AURANGABAD,2011,Importation of Girls (Sec. 366B IPC),0,0
AURANGABAD,2011,Causing Death by Negligence (Sec. 304A IPC),168,14.1
AURANGABAD,2011,Other IPC,897,75.4
AURANGABAD,2011,Total Cognizable,3781,318
BENGALURU,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),458,5.4
BENGALURU,2011,Importation of Girls (Sec. 366B IPC),0,0
BENGALURU,2011,Causing Death by Negligence (Sec. 304A IPC),108,1.3
BENGALURU,2011,Other IPC,8297,97.6
BENGALURU,2011,Total Cognizable,30283,356.3
BHOPAL,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),272,14.4
BHOPAL,2011,Importation of Girls (Sec. 366B IPC),1,0.1
BHOPAL,2011,Causing Death by Negligence (Sec. 304A IPC),164,8.7
BHOPAL,2011,Other IPC,7421,394.1
BHOPAL,2011,Total Cognizable,12570,667.6
CHANDIGARH(C),2011,Cruelty by Husband and Relatives (Sec. 498A IPC),42,12.1
CHANDIGARH(C),2011,Importation of Girls (Sec. 366B IPC),0,0
CHANDIGARH(C),2011,Causing Death by Negligence (Sec. 304A IPC),7,0.7
CHANDIGARH(C),2011,Other IPC,976,95.1
CHANDIGARH(C),2011,Total Cognizable,3299,321.1
CHENNAI,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),229,2.6
CHENNAI,2011,Importation of Girls (Sec. 366B IPC),0,0
CHENNAI,2011,Causing Death by Negligence (Sec. 304A IPC),1431,16.5
CHENNAI,2011,Other IPC,12464,143.3
CHENNAI,2011,Total Cognizable,21346,245.5
COIMBATORE,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),83,3.9
COIMBATORE,2011,Importation of Girls (Sec. 366B IPC),0,0
COIMBATORE,2011,Causing Death by Negligence (Sec. 304A IPC),283,13.2
COIMBATORE,2011,Other IPC,1898,88.2
COIMBATORE,2011,Total Cognizable,4030,187.4
DELHI (CITY),2011,Cruelty by Husband and Relatives (Sec. 498A IPC),1498,9.2
DELHI (CITY),2011,Importation of Girls (Sec. 366B IPC),0,0
DELHI (CITY),2011,Causing Death by Negligence (Sec. 304A IPC),1098,6.7
DELHI (CITY),2011,Other IPC,12182,74.7
DELHI (CITY),2011,Total Cognizable,47212,289.4
DHANBAD,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),8,0.7
DHANBAD,2011,Importation of Girls (Sec. 366B IPC),0,0
DHANBAD,2011,Causing Death by Negligence (Sec. 304A IPC),2,0.2
DHANBAD,2011,Other IPC,662,55.4
DHANBAD,2011,Total Cognizable,1482,124
DURG-BHILAIN AGAR,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),96,9
DURG-BHILAIN AGAR,2011,Importation of Girls (Sec. 366B IPC),0,0
DURG-BHILAIN AGAR,2011,Causing Death by Negligence (Sec. 304A IPC),225,21.1
DURG-BHILAIN AGAR,2011,Other IPC,4899,460.4
DURG-BHILAIN AGAR,2011,Total Cognizable,7267,683
FARID AB AD,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),218,15.5
FARID AB AD,2011,Importation of Girls (Sec. 366B IPC),0,0
FARID AB AD,2011,Causing Death by Negligence (Sec. 304A IPC),229,16.3
FARID AB AD,2011,Other IPC,1569,111.7
FARID AB AD,2011,Total Cognizable,5357,381.3
GHAZIABAD,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),135,5.7
GHAZIABAD,2011,Importation of Girls (Sec. 366B IPC),0,0
GHAZIABAD,2011,Causing Death by Negligence (Sec. 304A IPC),241,10.2
GHAZIABAD,2011,Other IPC,1359,57.6
GHAZIABAD,2011,Total Cognizable,5488,232.6
GWALIOR,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),133,12.1
GWALIOR,2011,Importation of Girls (Sec. 366B IPC),0,0
GWALIOR,2011,Causing Death by Negligence (Sec. 304A IPC),135,12.3
GWALIOR,2011,Other IPC,3390,307.6
GWALIOR,2011,Total Cognizable,7816,709.3
HYDERABAD,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),1355,17.5
HYDERABAD,2011,Importation of Girls (Sec. 366B IPC),0,0
HYDERABAD,2011,Causing Death by Negligence (Sec. 304A IPC),505,6.5
HYDERABAD,2011,Other IPC,2353,30.4
HYDERABAD,2011,Total Cognizable,15657,202.1
INDORE,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),306,14.1
INDORE,2011,Importation of Girls (Sec. 366B IPC),3,0.1
INDORE,2011,Causing Death by Negligence (Sec. 304A IPC),244,11.3
INDORE,2011,Other IPC,6348,292.9
INDORE,2011,Total Cognizable,14504,669.3
JABALPUR,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),129,10.2
JABALPUR,2011,Importation of Girls (Sec. 366B IPC),2,0.2
JABALPUR,2011,Causing Death by Negligence (Sec. 304A IPC),111,00 00
JABALPUR,2011,Other IPC,2294,180.9
JABALPUR,2011,Total Cognizable,6560,517.4
JAIPUR,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),936,30.5
JAIPUR,2011,Importation of Girls (Sec. 366B IPC),0,0
JAIPUR,2011,Causing Death by Negligence (Sec. 304A IPC),755,24.6
JAIPUR,2011,Other IPC,6594,214.6
JAIPUR,2011,Total Cognizable,18897,614.9
JAMSHEDPUR,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),61,4.6
JAMSHEDPUR,2011,Importation of Girls (Sec. 366B IPC),0,0
JAMSHEDPUR,2011,Causing Death by Negligence (Sec. 304A IPC),120,9
JAMSHEDPUR,2011,Other IPC,458,34.3
JAMSHEDPUR,2011,Total Cognizable,2362,176.7
JODHPUR,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),338,29.7
JODHPUR,2011,Importation of Girls (Sec. 366B IPC),0,0
JODHPUR,2011,Causing Death by Negligence (Sec. 304A IPC),241,21.2
JODHPUR,2011,Other IPC,941,82.7
JODHPUR,2011,Total Cognizable,4270,375.2
KANNUR,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),107,6.5
KANNUR,2011,Importation of Girls (Sec. 366B IPC),0,0
KANNUR,2011,Causing Death by Negligence (Sec. 304A IPC),2,0.1
KANNUR,2011,Other IPC,1236,75.2
KANNUR,2011,Total Cognizable,2389,145.4
KANPUR,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),284,9.7
KANPUR,2011,Importation of Girls (Sec. 366B IPC),0,0
KANPUR,2011,Causing Death by Negligence (Sec. 304A IPC),453,15.5
KANPUR,2011,Other IPC,2516,86.2
KANPUR,2011,Total Cognizable,7661,262.4
KOCHI,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),136,6.4
KOCHI,2011,Importation of Girls (Sec. 366B IPC),0,0
KOCHI,2011,Causing Death by Negligence (Sec. 304A IPC),2,0.1
KOCHI,2011,Other IPC,32501,1534.5
KOCHI,2011,Total Cognizable,34658,1636.4
KOLKATA,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),557,3.9
KOLKATA,2011,Importation of Girls (Sec. 366B IPC),0,0
KOLKATA,2011,Causing Death by Negligence (Sec. 304A IPC),414,2.9
KOLKATA,2011,Other IPC,7109,50.4
KOLKATA,2011,Total Cognizable,17152,121.5
KOLLAM,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),319,28.7
KOLLAM,2011,Importation of Girls (Sec. 366B IPC),0,0
KOLLAM,2011,Causing Death by Negligence (Sec. 304A IPC),1,0.1
KOLLAM,2011,Other IPC,3547,319.5
KOLLAM,2011,Total Cognizable,6440,580.2
KOTA,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),413,41.3
KOTA,2011,Importation of Girls (Sec. 366B IPC),0,0
KOTA,2011,Causing Death by Negligence (Sec. 304A IPC),108,10.8
KOTA,2011,Other IPC,1665,166.3
KOTA,2011,Total Cognizable,4176,417.2
KOZHIKODE,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),171,8.4
KOZHIKODE,2011,Importation of Girls (Sec. 366B IPC),0,0
KOZHIKODE,2011,Causing Death by Negligence (Sec. 304A IPC),0,0
KOZHIKODE,2011,Other IPC,1771,87.2
KOZHIKODE,2011,Total Cognizable,4026,198.2
LUCKNOW,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),454,15.6
LUCKNOW,2011,Importation of Girls (Sec. 366B IPC),0,0
LUCKNOW,2011,Causing Death by Negligence (Sec. 304A IPC),408,14.1
LUCKNOW,2011,Other IPC,3746,129.1
LUCKNOW,2011,Total Cognizable,8891,306.5
LUDHIANA,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),102,6.3
LUDHIANA,2011,Importation of Girls (Sec. 366B IPC),0,0
LUDHIANA,2011,Causing Death by Negligence (Sec. 304A IPC),200,12.4
LUDHIANA,2011,Other IPC,917,56.8
LUDHIANA,2011,Total Cognizable,2792,173
MADURAI,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),71,4.9
MADURAI,2011,Importation of Girls (Sec. 366B IPC),0,0
MADURAI,2011,Causing Death by Negligence (Sec. 304A IPC),123,8.4
MADURAI,2011,Other IPC,1467,100.3
MADURAI,2011,Total Cognizable,2873,196.5
MALAPPURAM,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),126,7.4
MALAPPURAM,2011,Importation of Girls (Sec. 366B IPC),0,0
MALAPPURAM,2011,Causing Death by Negligence (Sec. 304A IPC),2,0.1
MALAPPURAM,2011,Other IPC,1658,97.6
MALAPPURAM,2011,Total Cognizable,2429,143
MEERUT,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),99,6.9
MEERUT,2011,Importation of Girls (Sec. 366B IPC),0,0
MEERUT,2011,Causing Death by Negligence (Sec. 304A IPC),146,10.2
MEERUT,2011,Other IPC,1123,78.8
MEERUT,2011,Total Cognizable,4353,305.5
MUMBAI,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),393,2.1
MUMBAI,2011,Importation of Girls (Sec. 366B IPC),0,0
MUMBAI,2011,Causing Death by Negligence (Sec. 304A IPC),656,3.6
MUMBAI,2011,Other IPC,6464,35.1
MUMBAI,2011,Total Cognizable,32647,177.3
NAGPUR,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),174,7
NAGPUR,2011,Importation of Girls (Sec. 366B IPC),0,0
NAGPUR,2011,Causing Death by Negligence (Sec. 304A IPC),243,9.7
NAGPUR,2011,Other IPC,2563,102.6
NAGPUR,2011,Total Cognizable,8063,322.8
NASIK,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),115,7.4
NASIK,2011,Importation of Girls (Sec. 366B IPC),0,0
NASIK,2011,Causing Death by Negligence (Sec. 304A IPC),177,11.3
NASIK,2011,Other IPC,623,39.9
NASIK,2011,Total Cognizable,4512,288.7
PATNA,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),199,9.7
PATNA,2011,Importation of Girls (Sec. 366B IPC),0,0
PATNA,2011,Causing Death by Negligence (Sec. 304A IPC),282,13.8
PATNA,2011,Other IPC,4047,197.7
PATNA,2011,Total Cognizable,9292,453.9
PUNE,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),251,5
PUNE,2011,Importation of Girls (Sec. 366B IPC),0,0
PUNE,2011,Causing Death by Negligence (Sec. 304A IPC),538,10.7
PUNE,2011,Other IPC,2318,45.9
PUNE,2011,Total Cognizable,12622,249.9
RAIPUR,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),59,5.3
RAIPUR,2011,Importation of Girls (Sec. 366B IPC),0,0
RAIPUR,2011,Causing Death by Negligence (Sec. 304A IPC),212,18.9
RAIPUR,2011,Other IPC,1941,172.8
RAIPUR,2011,Total Cognizable,6222,554.1
RAJKOT,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),246,17.7
RAJKOT,2011,Importation of Girls (Sec. 366B IPC),0,0
RAJKOT,2011,Causing Death by Negligence (Sec. 304A IPC),161,11.6
RAJKOT,2011,Other IPC,1692,121.6
RAJKOT,2011,Total Cognizable,3939,283.2
RANCHI,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),43,3.8
RANCHI,2011,Importation of Girls (Sec. 366B IPC),0,0
RANCHI,2011,Causing Death by Negligence (Sec. 304A IPC),170,15.1
RANCHI,2011,Other IPC,911,80.8
RANCHI,2011,Total Cognizable,3761,333.7
SRINAGAR,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),54,4.2
SRINAGAR,2011,Importation of Girls (Sec. 366B IPC),0,0
SRINAGAR,2011,Causing Death by Negligence (Sec. 304A IPC),71,5.6
SRINAGAR,2011,Other IPC,1051,82.6
SRINAGAR,2011,Total Cognizable,2756,216.5
SURAT,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),276,6
SURAT,2011,Importation of Girls (Sec. 366B IPC),0,0
SURAT,2011,Causing Death by Negligence (Sec. 304A IPC),241,5.3
SURAT,2011,Other IPC,4534,98.9
SURAT,2011,Total Cognizable,8446,184.2
THIRUVANANTHAPURAM,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),156,9.2
THIRUVANANTHAPURAM,2011,Importation of Girls (Sec. 366B IPC),0,0
THIRUVANANTHAPURAM,2011,Causing Death by Negligence (Sec. 304A IPC),4,0.2
THIRUVANANTHAPURAM,2011,Other IPC,3452,204.6
THIRUVANANTHAPURAM,2011,Total Cognizable,6670,395.4
THRISSUR,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),131,7.1
THRISSUR,2011,Importation of Girls (Sec. 366B IPC),0,0
THRISSUR,2011,Causing Death by Negligence (Sec. 304A IPC),3,0.2
THRISSUR,2011,Other IPC,2913,157
THRISSUR,2011,Total Cognizable,4864,262.2
TIRUCHIRAPALLI,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),28,2
TIRUCHIRAPALLI,2011,Importation of Girls (Sec. 366B IPC),0,0
TIRUCHIRAPALLI,2011,Causing Death by Negligence (Sec. 304A IPC),174,12.4
TIRUCHIRAPALLI,2011,Other IPC,2425,172.6
TIRUCHIRAPALLI,2011,Total Cognizable,3496,248.8
VADODARA,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),240,13.2
VADODARA,2011,Importation of Girls (Sec. 366B IPC),0,0
VADODARA,2011,Causing Death by Negligence (Sec. 304A IPC),156,8.6
VADODARA,2011,Other IPC,2697,148.4
VADODARA,2011,Total Cognizable,5727,315.2
VARANASI,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),53,3.7
VARANASI,2011,Importation of Girls (Sec. 366B IPC),0,0
VARANASI,2011,Causing Death by Negligence (Sec. 304A IPC),73,5.1
VARANASI,2011,Other IPC,719,50.1
VARANASI,2011,Total Cognizable,2020,140.8
VASAI VIRAR,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),12,1
VASAI VIRAR,2011,Importation of Girls (Sec. 366B IPC),0,0
VASAI VIRAR,2011,Causing Death by Negligence (Sec. 304A IPC),163,13.3
VASAI VIRAR,2011,Other IPC,190,15.6
VASAI VIRAR,2011,Total Cognizable,1727,141.4
VIJAYAWADA,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),1066,71.5
VIJAYAWADA,2011,Importation of Girls (Sec. 366B IPC),0,0
VIJAYAWADA,2011,Causing Death by Negligence (Sec. 304A IPC),313,21
VIJAYAWADA,2011,Other IPC,808,54.2
VIJAYAWADA,2011,Total Cognizable,7225,484.6
VISHAKHAPATNAM,2011,Cruelty by Husband and Relatives (Sec. 498A IPC),386,22.3
VISHAKHAPATNAM,2011,Importation of Girls (Sec. 366B IPC),0,0
VISHAKHAPATNAM,2011,Causing Death by Negligence (Sec. 304A IPC),410,23.7
VISHAKHAPATNAM,2011,Other IPC,577,33.4
VISHAKHAPATNAM,2011,Total Cognizable,4886,282.4
AGRA,2012,Murder (Sec. 302 IPC),77,4.4
AGRA,2012,Attempt To Commit Murder (Sec. 307 IPC),81,4.6
AGRA,2012,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",23,1.3
AHMEDABAD,2012,Murder (Sec. 302 IPC),90,1.4
AHMEDABAD,2012,Attempt To Commit Murder (Sec. 307 IPC),49,0.8
AHMEDABAD,2012,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",7,0.1
ALLAHABAD,2012,Murder (Sec. 302 IPC),32,2.6
ALLAHABAD,2012,Attempt To Commit Murder (Sec. 307 IPC),60,4.9
ALLAHABAD,2012,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",7,0.6
AMRITSAR,2012,Murder (Sec. 302 IPC),42,3.5
AMRITSAR,2012,Attempt To Commit Murder (Sec. 307 IPC),80,6.8
AMRITSAR,2012,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",2,0.2
ASANSOL,2012,Murder (Sec. 302 IPC),60,4.8
ASANSOL,2012,Attempt To Commit Murder (Sec. 307 IPC),25,2
ASANSOL,2012,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",9,0.7
AURANGABAD,2012,Murder (Sec. 302 IPC),46,3.9
AURANGABAD,2012,Attempt To Commit Murder (Sec. 307 IPC),55,4.6
AURANGABAD,2012,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",5,0.4
BENGALURU,2012,Murder (Sec. 302 IPC),266,3.1
BENGALURU,2012,Attempt To Commit Murder (Sec. 307 IPC),454,5.3
BENGALURU,2012,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",6,0.1
BHOPAL,2012,Murder (Sec. 302 IPC),52,2.8
BHOPAL,2012,Attempt To Commit Murder (Sec. 307 IPC),72,3.8
BHOPAL,2012,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",0,0
CHANDIGARH (CITY),2012,Murder (Sec. 302 IPC),18,1.8
CHANDIGARH (CITY),2012,Attempt To Commit Murder (Sec. 307 IPC),42,4.1
CHANDIGARH (CITY),2012,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",3,0.3
CHENNAI,2012,Murder (Sec. 302 IPC),180,2.1
CHENNAI,2012,Attempt To Commit Murder (Sec. 307 IPC),219,2.5
CHENNAI,2012,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",4,0
COIMBATORE,2012,Murder (Sec. 302 IPC),29,1.3
COIMBATORE,2012,Attempt To Commit Murder (Sec. 307 IPC),37,1.7
COIMBATORE,2012,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",0,0
DELHI (CITY),2012,Murder (Sec. 302 IPC),408,2.5
DELHI (CITY),2012,Attempt To Commit Murder (Sec. 307 IPC),369,2.3
DELHI (CITY),2012,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",69,0.4
DHANBAD,2012,Murder (Sec. 302 IPC),17,1.4
DHANBAD,2012,Attempt To Commit Murder (Sec. 307 IPC),10,0.8
DHANBAD,2012,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",4,0.3
DURG-BHILAINAGAR,2012,Murder (Sec. 302 IPC),40,3.8
DURG-BHILAINAGAR,2012,Attempt To Commit Murder (Sec. 307 IPC),39,3.7
DURG-BHILAINAGAR,2012,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",1,0.1
FARIDABAD,2012,Murder (Sec. 302 IPC),72,5.1
FARIDABAD,2012,Attempt To Commit Murder (Sec. 307 IPC),50,3.6
FARIDABAD,2012,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",6,0.4
GHAZIABAD,2012,Murder (Sec. 302 IPC),63,2.7
GHAZIABAD,2012,Attempt To Commit Murder (Sec. 307 IPC),61,2.6
GHAZIABAD,2012,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",19,0.8
GWALIOR,2012,Murder (Sec. 302 IPC),51,4.6
GWALIOR,2012,Attempt To Commit Murder (Sec. 307 IPC),116,10.5
GWALIOR,2012,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",17,1.5
